_id,id,school_name,country,country_logo,school_about_info,school_logo
6093a04f994d71231ad57445,37,Queen's College,Canada,canada.png,"{""total_student"":""4000"",""int_student"":""700""}","{""founded"":""1986"",""logo"":""""}"
6093a04f994d71231ad57426,6,Brandon University,Canada,canada.png,"{""total_student"":""3073"",""int_student"":""900""}","{""founded"":""1899"",""logo"":""""}"
6093a04f994d71231ad57485,103,The University of Findlay,USA,usa.png,"{""total_student"":""2700"",""int_student"":""500""}","{""founded"":""1882"",""logo"":""""}"
6093a04f994d71231ad57487,105,University  of Wisconsin,USA,usa.png,"{""total_student"":""44413"",""int_student"":""10000""}","{""founded"":""1848"",""logo"":""""}"
6093a04f994d71231ad5748c,110,University of Nebraska-Lincoln,USA,usa.png,"{""total_student"":""25260"",""int_student"":""8000""}","{""founded"":""1869"",""logo"":""""}"
6093a04f994d71231ad5749a,124,Western Kentucky Unversity,USA,usa.png,"{""total_student"":""20277"",""int_student"":""5700""}","{""founded"":""1906"",""logo"":""""}"
6093a04f994d71231ad57422,2,Algoma University,Canada,canada.png,"{""total_student"":""4500"",""int_student"":""1600""}","{""founded"":""1964"",""logo"":""""}"
6093a04f994d71231ad5744c,44,Stenberg College,Canada,canada.png,"{""total_student"":""8000"",""int_student"":""2000""}","{""founded"":""1990"",""logo"":""""}"
6093a04f994d71231ad57448,40,Saskatchewan Polytechnic,Canada,canada.png,"{""total_student"":""13169?"",""int_student"":""2500""}","{""founded"":""1959"",""logo"":""""}"
6093a04f994d71231ad57459,57,Yorkville University,Canada,canada.png,"{""total_student"":""2500"",""int_student"":""500""}","{""founded"":""1928"",""logo"":""""}"
6093a04f994d71231ad5747a,92,Pittsburg State University,USA,usa.png,"{""total_student"":""7479"",""int_student"":""1700""}","{""founded"":""1903"",""logo"":""""}"
6093a04f994d71231ad57484,102,The University of Baltimore,USA,usa.png,"{""total_student"":""9000"",""int_student"":""2500""}","{""founded"":""1925"",""logo"":""""}"
6093a04f994d71231ad574b2,148,Unitec Institute of Technology,New Zealand,new zealand.png,"{""total_student"":""15420"",""int_student"":""3000""}","{""founded"":""1976"",""logo"":""""}"
6093a04f994d71231ad574bb,156,Sorbonne-Assas International Law School - Asia,Singapore,singapore.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""2009"",""logo"":""""}"
6093a04f994d71231ad574bc,157,Technical University Of Munich Singapore Campus,Singapore,singapore.png,"{""total_student"":""6000"",""int_student"":""500""}","{""founded"":""1970"",""logo"":""""}"
6093a04f994d71231ad57472,84,Muhlenberg College,USA,usa.png,"{""total_student"":""2225"",""int_student"":""600""}","{""founded"":""1848"",""logo"":""""}"
6093a04f994d71231ad5747d,95,"San Jose city college,",USA,usa.png,"{""total_student"":""10139?"",""int_student"":""2000""}","{""founded"":""1921"",""logo"":""""}"
6093a04f994d71231ad57491,115,Virginia International University (VIU),USA,usa.png,"{""total_student"":""1204"",""int_student"":""100""}","{""founded"":""1998"",""logo"":""""}"
6093a04f994d71231ad57497,121,Webster University,USA,usa.png,"{""total_student"":""14053"",""int_student"":""2500""}","{""founded"":""1915"",""logo"":""""}"
6093a04f994d71231ad574a2,132,BSBI,Germany,germany.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""2005"",""logo"":""""}"
6093a04f994d71231ad574af,145,Whitireia Community Polytechnic,New Zealand,new zealand.png,"{""total_student"":""7500"",""int_student"":""2000""}","{""founded"":""1986"",""logo"":""""}"
6093a04f994d71231ad574c1,166,University Preparation College,Australia,australia.png,"{""total_student"":""3000"",""int_student"":""760""}","{""founded"":""2002"",""logo"":""""}"
6093a04f994d71231ad57434,20,Evergreen College,Canada,canada.png,"{""total_student"":""2000"",""int_student"":""800""}","{""founded"":""2002"",""logo"":""""}"
6093a04f994d71231ad5742d,13,Centennial College,Canada,canada.png,"{""total_student"":""22000"",""int_student"":""9000?""}","{""founded"":""1966"",""logo"":""""}"
6093a04f994d71231ad5743d,29,Laurentian University,Canada,canada.png,"{""total_student"":""9500?"",""int_student"":""2000""}","{""founded"":""1960"",""logo"":""""}"
6093a04f994d71231ad5744d,45,The University of Guelph,Canada,canada.png,"{""total_student"":""27890"",""int_student"":""2500""}","{""founded"":""1964"",""logo"":""""}"
6093a04f994d71231ad57469,75,James Madison University,USA,usa.png,"{""total_student"":""16787"",""int_student"":""1500""}","{""founded"":""1845"",""logo"":""""}"
6093a04f994d71231ad5746e,80,Merrimack College,USA,usa.png,"{""total_student"":""3653"",""int_student"":""700""}","{""founded"":""1947"",""logo"":""""}"
6093a04f994d71231ad57494,118,"State University of New York, Brockport",USA,usa.png,"{""total_student"":""8243"",""int_student"":""1700""}","{""founded"":""1835"",""logo"":""""}"
6093a04f994d71231ad57498,122,West Virginia University,USA,usa.png,"{""total_student"":""29175"",""int_student"":""5000""}","{""founded"":""1867"",""logo"":""""}"
6093a04f994d71231ad5749b,125,Western Washington University,USA,usa.png,"{""total_student"":""15060"",""int_student"":""2000""}","{""founded"":""1893"",""logo"":""""}"
6093a04f994d71231ad574ac,142,Northland Polytechnic (NORTH TEC),New Zealand,new zealand.png,"{""total_student"":""7835"",""int_student"":""3221""}","{""founded"":""1970"",""logo"":""""}"
6093a04f994d71231ad574b5,158,New Brunswick Community College,Canada,canada.png,"{""total_student"":""??4,000"",""int_student"":""980""}","{""founded"":""1974"",""logo"":""""}"
6093a04f994d71231ad574b6,151,ICL Business School,New Zealand,new zealand.png,"{""total_student"":""4000"",""int_student"":""1000""}","{""founded"":""?2002?"",""logo"":""""}"
6093a04f994d71231ad574c3,168,Federation University Australia,Australia,australia.png,"{""total_student"":""16592"",""int_student"":""4000""}","{""founded"":""1870?"",""logo"":""""}"
6093a04f994d71231ad57430,16,Conestoga,Canada,canada.png,"{""total_student"":""12500"",""int_student"":""2500""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad5743b,27,LaSalle College,Canada,canada.png,"{""total_student"":""3821"",""int_student"":""821""}","{""founded"":""1959"",""logo"":""""}"
6093a04f994d71231ad57443,35,North Island College,Canada,canada.png,"{""total_student"":""4093"",""int_student"":""1000""}","{""founded"":""1975"",""logo"":""""}"
6093a04f994d71231ad57446,38,Rosseau Lake College,Canada,canada.png,"{""total_student"":""1500"",""int_student"":""300""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad5745b,61,Vergas University,USA,usa.png,"{""total_student"":""2500"",""int_student"":""302""}","{""founded"":""1983"",""logo"":""""}"
6093a04f994d71231ad57466,72,ECPI University,USA,usa.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""1966"",""logo"":""""}"
6093a04f994d71231ad57467,73,Fisher College,USA,usa.png,"{""total_student"":""2560?"",""int_student"":""560""}","{""founded"":""1903"",""logo"":""""}"
6093a04f994d71231ad5746b,77,Long Island University,USA,usa.png,"{""total_student"":""3000"",""int_student"":""500""}","{""founded"":""1926"",""logo"":""""}"
6093a04f994d71231ad57476,88,Northern Arizona University,USA,usa.png,"{""total_student"":""?22376"",""int_student"":""5000""}","{""founded"":""1899"",""logo"":""""}"
6093a04f994d71231ad57478,90,Oglethorpe University,USA,usa.png,"{""total_student"":""1000"",""int_student"":""300""}","{""founded"":""1835"",""logo"":""""}"
6093a04f994d71231ad57483,101,Texas Wesleyan University,USA,usa.png,"{""total_student"":""3378"",""int_student"":""500""}","{""founded"":""1890"",""logo"":""""}"
6093a04f994d71231ad57492,116,Walla Walla Community College,USA,usa.png,"{""total_student"":""2000"",""int_student"":""500""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad57496,120,Washington & Jefferson College,USA,usa.png,"{""total_student"":""5000"",""int_student"":""1500""}","{""founded"":""1781"",""logo"":""""}"
6093a04f994d71231ad5749c,126,Widener University,USA,usa.png,"{""total_student"":""6464"",""int_student"":""1000""}","{""founded"":""1893"",""logo"":""""}"
6093a04f994d71231ad5749d,127,Lake Tahoe Community College,USA,usa.png,"{""total_student"":""2500"",""int_student"":""500""}","{""founded"":""1975"",""logo"":""""}"
6093a04f994d71231ad57421,1,Acsenda School of Management,Canada,canada.png,"{""total_student"":""5000"",""int_student"":""1900""}","{""founded"":""2004"",""logo"":""""}"
6093a04f994d71231ad57423,3,Algonquin  College,Canada,canada.png,"{""total_student"":""12000"",""int_student"":""2000""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad5742f,15,College De L'Estrie Inc.,Canada,canada.png,"{""total_student"":""157 9"",""int_student"":""450""}","{""founded"":"""",""logo"":""""}"
6093a04f994d71231ad57441,33,National Academy of Health & Business,Canada,canada.png,"{""total_student"":""4000"",""int_student"":""700""}","{""founded"":""1979"",""logo"":""""}"
6093a04f994d71231ad57447,39,Royal Road University,Canada,canada.png,"{""total_student"":""20000"",""int_student"":""2000""}","{""founded"":""1908"",""logo"":""""}"
6093a04f994d71231ad5744f,47,Toronto Film School,Canada,canada.png,"{""total_student"":""3000"",""int_student"":""500""}","{""founded"":""2005"",""logo"":""""}"
6093a04f994d71231ad57474,86,National University,USA,usa.png,"{""total_student"":""23909"",""int_student"":""5000""}","{""founded"":""1971"",""logo"":""""}"
6093a04f994d71231ad5747f,97,Southern Illinois University,USA,usa.png,"{""total_student"":""17292"",""int_student"":""5000""}","{""founded"":""1869"",""logo"":""""}"
6093a04f994d71231ad57481,99,Sullivan University - Louisville,USA,usa.png,"{""total_student"":""3700"",""int_student"":""1500""}","{""founded"":""1962"",""logo"":""""}"
6093a04f994d71231ad5748e,112,University of St. Thomas,USA,usa.png,"{""total_student"":""9878?"",""int_student"":""2000""}","{""founded"":""1885"",""logo"":""""}"
6093a04f994d71231ad57495,119,San Jose city college,USA,usa.png,"{""total_student"":""10139?"",""int_student"":""2000""}","{""founded"":""1921"",""logo"":""""}"
6093a04f994d71231ad57425,5,Beta College of Business and Technology,Canada,canada.png,"{""total_student"":""3000"",""int_student"":""200""}","{""founded"":""1960"",""logo"":""""}"
6093a04f994d71231ad5744a,42,Sheridan College,Canada,canada.png,"{""total_student"":""21000"",""int_student"":""4000""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad57452,50,University  Canada West,Canada,canada.png,"{""total_student"":""2500"",""int_student"":""600""}","{""founded"":""2005"",""logo"":""""}"
6093a04f994d71231ad5747c,94,Saint Anselm College,USA,usa.png,"{""total_student"":""1954"",""int_student"":""500""}","{""founded"":""1889"",""logo"":""""}"
6093a04f994d71231ad5749e,164,Pacific College of Technology,Australia,australia.png,"{""total_student"":""7000"",""int_student"":""700""}","{""founded"":""2003"",""logo"":""""}"
6093a04f994d71231ad5749f,129,Peralta Community College,USA,usa.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""1954"",""logo"":""""}"
6093a04f994d71231ad574a6,136,IUBH,Germany,germany.png,"{""total_student"":""17000"",""int_student"":""4000""}","{""founded"":""1998"",""logo"":""""}"
6093a04f994d71231ad574a8,138,NMIT,New Zealand,new zealand.png,"{""total_student"":""3179"",""int_student"":""1000""}","{""founded"":""1904"",""logo"":""""}"
6093a04f994d71231ad574c0,165,PGA International Golf Institut,Australia,australia.png,"{""total_student"":""2000"",""int_student"":""470""}","{""founded"":""1911"",""logo"":""""}"
6093a04f994d71231ad57432,18,Crandall University,Canada,canada.png,"{""total_student"":""2500"",""int_student"":""850""}","{""founded"":""1949"",""logo"":""""}"
6093a04f994d71231ad57427,59,,,.png,"{""total_student"":"""",""int_student"":""""}","{""founded"":"""",""logo"":""""}"
6093a04f994d71231ad57437,23,Focus College,Canada,canada.png,"{""total_student"":""2500"",""int_student"":""700""}","{""founded"":""1992"",""logo"":""""}"
6093a04f994d71231ad57461,67,"California State University,",USA,usa.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""1965"",""logo"":""""}"
6093a04f994d71231ad57486,104,Troy  University,USA,usa.png,"{""total_student"":""18086"",""int_student"":""5000""}","{""founded"":""1887"",""logo"":""""}"
6093a04f994d71231ad574a0,130,Algonquin College,Canada,canada.png,"{""total_student"":""12000"",""int_student"":""2000""}","{""founded"":""1967"",""logo"":""""}"
